institution,institutional_region,normalised_institution,latitude,longitude,country,country_code,taught_workshops,taught_workshop_dates,taught_workshops_per_year,domains,badges,badges_dates,swc-instructor,dc-instructor,lc-instructor,trainer,earliest_badge_awarded,year_earliest_badge_awarded,airport,airport_code,airport_latitude,airport_longitude,airport_region
University of Oxford,South East,University of Oxford,51.757644,-1.262868,United Kingdom,GB,"2014-11-27-elixiruk-manchester,2018-08-18-ttt-LatinAmerica,2019-04-25-rosario,2020-09-21-RAL","2014-11-27,2018-08-18,2019-04-25,2020-09-21","{2014: 1, 2018: 1, 2019: 1, 2020: 1}","['Computer science/electrical engineering', 'Library and information science']",['swc-instructor'],['2017-08-24'],2017-08-24,,,,2017-08-24,2017,London Heathrow,LHR,51.4775,-0.46138900000000005,London
Microsoft,North West,Microsoft,53.479047,-2.238965,United Kingdom,GB,"2017-08-16-sheffield,2018-05-24-ttt-online,2019-04-15-elixir-france,2019-04-22-ttt-online_WesternEurope,2019-06-19-ttt-online-WesternEurope","2017-08-16,2018-05-24,2019-03-25,2019-04-22,2019-06-19","{2017: 1, 2018: 1, 2019: 3}","['Physics', 'Computer science/electrical engineering', 'Education', 'Mathematics/statistics', 'High performance computing']",['dc-instructor'],['2017-06-15'],,2017-06-15,,,2017-06-15,2017,Manchester,MAN,53.353611,-2.274722,North West
University of Oxford,South East,University of Oxford,51.757644,-1.262868,United Kingdom,GB,,,,"['Computer science/electrical engineering', 'Psychology/neuroscience', 'Mathematics/statistics']",['swc-instructor'],['2017-10-03'],2017-10-03,,,,2017-10-03,2017,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University of Oxford,South East,University of Oxford,51.757644,-1.262868,United Kingdom,GB,"2017-03-13-oxford,2017-02-13-oxford,2018-01-09-oxford","2017-03-13,2017-02-13,2018-01-09","{2017: 2, 2018: 1}","['Physics', 'Computer science/electrical engineering']",['swc-instructor'],['2017-07-14'],2017-07-14,,,,2017-07-14,2017,London Heathrow,LHR,51.4775,-0.46138900000000005,London
Bishop Grosseteste University College Lincoln,East Midlands,Bishop Grosseteste University College Lincoln,53.244036,-0.535716,United Kingdom,GB,"2017-07-26-Sheffield,2017-03-07-sheffield-lc","2017-07-26,2017-03-07",{2017: 2},"['Genetics', ' genomics', ' bioinformatics', 'Library and information science', 'Mathematics/statistics']",['dc-instructor'],['2017-06-01'],,2017-06-01,,,2017-06-01,2017,Manchester,MAN,53.353611,-2.274722,North West
University of Oxford,South East,University of Oxford,51.757644,-1.262868,United Kingdom,GB,,,,['Computer science/electrical engineering'],['swc-instructor'],['2017-06-15'],2017-06-15,,,,2017-06-15,2017,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University of Leeds,Yorkshire and The Humber,University of Leeds,53.808493999999996,-1.552797,United Kingdom,GB,,,,"['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'Chemistry']",['swc-instructor'],['2017-08-08'],2017-08-08,,,,2017-08-08,2017,Leeds,LBA,53.865832999999995,-1.6605560000000001,Yorkshire and The Humber
University of Southampton,South East,University of Southampton,50.93418,-1.395675,United Kingdom,GB,"2017-11-08-southampton-swc,2017-08-01-southampton-dc,2018-10-09-umea","2017-11-08,2017-08-01,2018-10-09","{2017: 2, 2018: 1}","['Genetics', ' genomics', ' bioinformatics', 'Civil', ' mechanical', ' chemical', ' or nuclear engineering']",['dc-instructor'],['2017-09-07'],,2017-09-07,,,2017-09-07,2017,Southampton,SOU,50.95,-1.356667,South East
University of St Andrews,Scotland,University of St Andrews,56.341205,-2.793016,United Kingdom,GB,"2018-11-27-standrews,2018-12-10-standrews,2019-05-02-standrews,2019-06-04-edinburgh,2019-09-23-standrews,2020-11-06-standrews","2018-11-27,2018-12-10,2019-05-02,2019-06-04,2019-09-23,2020-11-06","{2018: 2, 2019: 3, 2020: 1}",,['swc-instructor'],['2017-11-27'],2017-11-27,,,,2017-11-27,2017,RAF Leuchars Airport,ADX,56.3728981,-2.8684399,Scotland
Aberystwyth University,,Aberystwyth University,,,United Kingdom,GB,"2018-04-10-Aberystwyth_shell,2018-04-24-Aberystwyth_git,2018-05-08-Aberystwyth_python,2019-11-19-aberystwyth,2019-11-06-aberystwyth,2020-06-09-supercomputingwales_python,2020-06-16-supercomputingwales_git,2020-05-26-supercomputingwales_unix","2018-04-10,2018-04-24,2018-05-08,2019-11-19,2019-11-06,2020-06-09,2020-06-16,2020-05-26","{2018: 3, 2019: 2, 2020: 3}","['Computer science/electrical engineering', 'High performance computing']",['swc-instructor'],['2017-09-08'],2017-09-08,,,,2017-09-08,2017,Birmingham,BHX,52.453610999999995,-1.7477779999999998,West Midlands
University College London,London,University College London,51.524774,-0.133401,United Kingdom,GB,"2017-07-25-UCL_software_carpentry,2017-09-25-UCL_software_carpentry,2017-12-14-UCL_software_carpentry,2018-04-25-UCL_software_carpentry","2017-07-25,2017-09-25,2017-12-14,2018-04-25","{2017: 3, 2018: 1}",['Psychology/neuroscience'],['swc-instructor'],['2017-09-13'],2017-09-13,,,,2017-09-13,2017,London Gatwick,LGW,51.148056,-0.190278,South East
Imperial College London,,Imperial College London,,,United Kingdom,GB,2019-04-15-Imperial,2019-04-15,{2019: 1},,['swc-instructor'],['2019-04-08'],2019-04-08,,,,2019-04-08,2019,,,,,
University of Edinburgh,Scotland,University of Edinburgh,55.948003,-3.188111,United Kingdom,GB,,,,"['Organismal biology (ecology', ' botany', ' zoology', ' microbiology)']",['dc-instructor'],['2017-12-05'],,2017-12-05,,,2017-12-05,2017,Edinburgh,EDI,55.95,-3.3725,Scotland
University of Sheffield,Yorkshire and The Humber,University of Sheffield,53.381409,-1.488709,United Kingdom,GB,"2017-07-26-Sheffield,2018-11-26-sheffield","2017-07-26,2018-11-26","{2017: 1, 2018: 1}",,['swc-instructor'],['2019-02-19'],2019-02-19,,,,2019-02-19,2019,East Midlands Airport,EMA,52.828193999999996,-1.334258,East Midlands
The University of Manchester,North West,The University of Manchester,53.467943000000005,-2.233222,United Kingdom,GB,"2017-11-06-manchester,2018-07-03-manchester,2018-05-15-swc-manchester","2017-11-06,2018-07-03,2018-05-15","{2017: 1, 2018: 2}","['Space sciences', 'Physics']",['swc-instructor'],['2017-12-05'],2017-12-05,,,,2017-12-05,2017,Manchester,MAN,53.353611,-2.274722,North West
"Hartree Centre, STFC",,"Hartree Centre, STFC",,,United Kingdom,GB,,,,"['Physics', 'Civil', ' mechanical', ' chemical', ' or nuclear engineering', 'Computer science/electrical engineering', 'Mathematics/statistics', 'High performance computing']",['dc-instructor'],['2018-01-24'],,2018-01-24,,,2018-01-24,2018,Manchester,MAN,53.353611,-2.274722,North West
University of Strathclyde,Scotland,University of Strathclyde,55.861363,-4.244586,United Kingdom,GB,,,,"['Civil', ' mechanical', ' chemical', ' or nuclear engineering']",['swc-instructor'],['2018-01-24'],2018-01-24,,,,2018-01-24,2018,Glasgow International Airport,GLA,55.8646,-4.43234,Scotland
University of Sheffield; University of Leeds,,University of Sheffield; University of Leeds,,,United Kingdom,GB,,,,"['Computer science/electrical engineering', 'Psychology/neuroscience', 'Humanities']",['swc-instructor'],['2018-01-24'],2018-01-24,,,,2018-01-24,2018,Robin Hood Doncaster Sheffield Airport,DSA,53.4805378,-1.0106564,Yorkshire and The Humber
The University of Manchester,North West,The University of Manchester,53.467943000000005,-2.233222,United Kingdom,GB,,,,['Social sciences'],['dc-instructor'],['2017-12-05'],,2017-12-05,,,2017-12-05,2017,Manchester,MAN,53.353611,-2.274722,North West
The University of Manchester,North West,The University of Manchester,53.467943000000005,-2.233222,United Kingdom,GB,"2018-07-19-ss-dc-manchester,2020-06-04-sfc-online,2019-11-28-Cranfield,2019-12-12-Manchester,2020-06-16-sfc-online,2020-07-01-sfc-online,2020-10-13-ssi-online","2018-07-19,2020-06-04,2019-11-28,2019-12-12,2020-06-16,2020-07-01,2020-10-13","{2018: 1, 2020: 4, 2019: 2}","['Social sciences', 'Humanities']",['dc-instructor'],['2018-03-23'],,2018-03-23,,,2018-03-23,2018,Manchester,MAN,53.353611,-2.274722,North West
The University of Manchester,North West,The University of Manchester,53.467943000000005,-2.233222,United Kingdom,GB,,,,"['Computer science/electrical engineering', 'High performance computing']",['swc-instructor'],['2017-11-13'],2017-11-13,,,,2017-11-13,2017,Manchester,MAN,53.353611,-2.274722,North West
The University of Manchester,North West,The University of Manchester,53.467943000000005,-2.233222,United Kingdom,GB,"2018-07-03-manchester,2018-03-08-manchester-swc","2018-07-03,2018-03-08",{2018: 2},"['Physics', 'Computer science/electrical engineering', 'Mathematics/statistics']",['swc-instructor'],['2017-12-05'],2017-12-05,,,,2017-12-05,2017,Bristol,BRS,51.3825,-2.718889,South West
University of Bristol,South West,University of Bristol,51.459064,-2.6032919999999997,United Kingdom,GB,,,,"['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'Physics', 'High performance computing']",['dc-instructor'],['2017-12-22'],,2017-12-22,,,2017-12-22,2017,Bristol,BRS,51.3825,-2.718889,South West
University of Cambridge,Eastern,University of Cambridge,52.205317,0.11664200000000001,United Kingdom,GB,2019-03-19-oxford,2019-03-19,{2019: 1},['Computer science/electrical engineering'],['dc-instructor'],['2018-02-01'],,2018-02-01,,,2018-02-01,2018,Stansted,STN,51.885,0.235,Eastern
Earlham Institute,Eastern,Earlham Institute,52.6217407,1.2189869000000044,United Kingdom,GB,"2017-10-10-norwich,2017-11-21-EI,2018-10-02-DC,2019-01-22-SWC,2019-03-05-earlham,2020-03-03-earlham,2020-01-21-earlham,2020-06-30-earlham","2017-10-10,2017-11-21,2018-10-02,2019-01-22,2019-03-05,2020-03-03,2020-01-21,2020-06-30","{2017: 2, 2018: 1, 2019: 2, 2020: 3}","['Genetics', ' genomics', ' bioinformatics', 'Computer science/electrical engineering']",['swc-instructor'],['2017-12-22'],2017-12-22,,,,2017-12-22,2017,Norwich,NWI,52.675833,1.282778,Eastern
University of Southampton,South East,University of Southampton,50.93418,-1.395675,United Kingdom,GB,2017-11-08-southampton-swc,2017-11-08,{2017: 1},"['Economics/business', 'Social sciences', 'Library and information science', 'Education', 'Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2018-03-08'],2018-03-08,,,,2018-03-08,2018,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University of Edinburgh,Scotland,University of Edinburgh,55.948003,-3.188111,United Kingdom,GB,"2017-09-26-oxford,2018-09-13-edinburgh,2019-02-18-edinburgh-business-school,2019-06-04-edinburgh,2019-11-15-edinburgh-library-carpentry,2020-04-29-sfc-online,2020-06-16-sfc-online,2020-11-25-edinburgh-dc-digital-humanities","2017-09-26,2018-09-13,2019-02-18,2019-06-04,2019-11-15,2020-04-29,2020-06-16,2020-11-25","{2017: 1, 2018: 1, 2019: 3, 2020: 3}",['Humanities'],['dc-instructor'],['2020-07-29'],,2020-07-29,,,2020-07-29,2020,,,,,
,,,,,United Kingdom,GB,,,,,['swc-instructor'],['2018-03-01'],2018-03-01,,,,2018-03-01,2018,Southampton,SOU,50.95,-1.356667,South East
University of Sheffield,Yorkshire and The Humber,University of Sheffield,53.381409,-1.488709,United Kingdom,GB,"2017-10-12-oxford-swc,2018-10-17-oxford-swc,2018-11-26-sheffield","2017-10-12,2018-10-17,2018-11-26","{2017: 1, 2018: 2}","['Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2019-01-02'],2019-01-02,,,,2019-01-02,2019,Manchester,MAN,53.353611,-2.274722,North West
University College London,London,University College London,51.524774,-0.133401,United Kingdom,GB,"2017-12-14-UCL_software_carpentry,2018-04-25-UCL_software_carpentry,2018-06-26-UCL_software_carpentry,2018-09-26-UCL_software_carpentry,2018-11-07-UCL_software_carpentry,2019-07-15-UCL_software_carpentry","2017-12-14,2018-04-25,2018-06-26,2018-09-26,2018-11-07,2019-07-15","{2017: 1, 2018: 4, 2019: 1}","['Physics', 'Chemistry', 'Civil', ' mechanical', ' chemical', ' or nuclear engineering', 'Computer science/electrical engineering', 'Mathematics/statistics', 'High performance computing']",['dc-instructor'],['2019-01-02'],,2019-01-02,,,2019-01-02,2019,,,,,
University College London,London,University College London,51.524774,-0.133401,United Kingdom,GB,"2018-06-26-UCL_software_carpentry,2019-04-08-UCL_software_carpentry,2019-07-09-rslondon,2019-09-25-UCL_software_carpentry,2020-02-18-UCL","2018-06-26,2019-04-08,2019-07-09,2019-09-25,2020-02-18","{2018: 1, 2019: 3, 2020: 1}","['Computer science/electrical engineering', 'Mathematics/statistics']",['swc-instructor'],['2019-12-08'],2019-12-08,,,,2019-12-08,2019,,,,,
The University of sheffield,,The University of sheffield,,,United Kingdom,GB,,,,"['Chemistry', 'Computer science/electrical engineering', 'Library and information science']",['swc-instructor'],['2019-01-30'],2019-01-30,,,,2019-01-30,2019,,,,,
Imperial College London,,Imperial College London,,,United Kingdom,GB,,,,"['Genetics', ' genomics', ' bioinformatics', 'Medicine']",['swc-instructor'],['2017-11-27'],2017-11-27,,,,2017-11-27,2017,London Heathrow,LHR,51.4775,-0.46138900000000005,London
Imperial College London,,Imperial College London,,,United Kingdom,GB,"2018-09-24-Imperial,2018-06-14-Imperial,2019-11-14-Imperial","2018-09-24,2018-06-14,2019-11-14","{2018: 2, 2019: 1}","['Physics', 'Chemistry', 'Education']",['swc-instructor'],['2018-02-05'],2018-02-05,,,,2018-02-05,2018,Birmingham,BHX,52.453610999999995,-1.7477779999999998,West Midlands
Imperial College London,,Imperial College London,,,United Kingdom,GB,,,,,['swc-instructor'],['2017-12-12'],2017-12-12,,,,2017-12-12,2017,,,,,
"National Heart & Lung Institute, Imperial College",,"National Heart & Lung Institute, Imperial College",,,United Kingdom,GB,2018-09-24-Imperial,2018-09-24,{2018: 1},"['Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2018-02-05'],2018-02-05,,,,2018-02-05,2018,London Heathrow,LHR,51.4775,-0.46138900000000005,London
Imperial College London,,Imperial College London,,,United Kingdom,GB,"2018-09-24-Imperial,2019-10-10-Imperial,2019-04-15-Imperial,2018-06-14-Imperial,2018-03-19-Imperial","2018-09-24,2019-10-10,2019-04-15,2018-06-14,2018-03-19","{2018: 3, 2019: 2}","['Genetics', ' genomics', ' bioinformatics']",['dc-instructor'],['2017-12-13'],,2017-12-13,,,2017-12-13,2017,London Heathrow,LHR,51.4775,-0.46138900000000005,London
Imperial College London,,Imperial College London,,,United Kingdom,GB,2018-09-24-Imperial,2018-09-24,{2018: 1},['Computer science/electrical engineering'],['swc-instructor'],['2018-01-24'],2018-01-24,,,,2018-01-24,2018,London Heathrow,LHR,51.4775,-0.46138900000000005,London
Imperial College London,,Imperial College London,,,United Kingdom,GB,,,,"['Chemistry', 'Genetics', ' genomics', ' bioinformatics', 'Education', 'Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2018-02-06'],2018-02-06,,,,2018-02-06,2018,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University of Southampton,South East,University of Southampton,50.93418,-1.395675,United Kingdom,GB,,,,"['Computer science/electrical engineering', 'High performance computing']",['swc-instructor'],['2018-03-07'],2018-03-07,,,,2018-03-07,2018,Southampton,SOU,50.95,-1.356667,South East
University of Southampton,South East,University of Southampton,50.93418,-1.395675,United Kingdom,GB,"2018-04-16-maxplanck,2019-02-14-elixir-luxembourg","2018-04-16,2019-02-11","{2018: 1, 2019: 1}","['Space sciences', 'Physics']",['swc-instructor'],['2018-02-01'],2018-02-01,,,,2018-02-01,2018,Southampton,SOU,50.95,-1.356667,South East
Imperial College London,,Imperial College London,,,United Kingdom,GB,2018-11-07-Imperial,2018-11-07,{2018: 1},['Physics'],['swc-instructor'],['2018-02-05'],2018-02-05,,,,2018-02-05,2018,London Heathrow,LHR,51.4775,-0.46138900000000005,London
Cancer Research UK Cambridge Institute,,Cancer Research UK Cambridge Institute,,,United Kingdom,GB,2019-01-15-CRUK-Cambridge-DCinR,2019-01-15,{2019: 1},"['Organismal biology (ecology', ' botany', ' zoology', ' microbiology)', 'Genetics', ' genomics', ' bioinformatics', 'Computer science/electrical engineering', 'Mathematics/statistics']",['dc-instructor'],['2018-03-01'],,2018-03-01,,,2018-03-01,2018,Norwich,NWI,52.675833,1.282778,Eastern
"Department of Chemistry and Cancer Research UK - Cambridge Institute, University of Cambridge",,"Department of Chemistry and Cancer Research UK - Cambridge Institute, University of Cambridge",,,United Kingdom,GB,2018-06-28-cambridge,2018-06-28,{2018: 1},"['Chemistry', 'Genetics', ' genomics', ' bioinformatics', 'Computer science/electrical engineering', 'Mathematics/statistics', 'High performance computing']",['dc-instructor'],['2018-05-23'],,2018-05-23,,,2018-05-23,2018,Stansted,STN,51.885,0.235,Eastern
Imperial College London,,Imperial College London,,,United Kingdom,GB,2018-03-19-Imperial,2018-03-19,{2018: 1},"['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'Computer science/electrical engineering', 'Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2018-03-20'],2018-03-20,,,,2018-03-20,2018,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University of Exeter,South West,University of Exeter,50.735199,-3.5343699999999996,United Kingdom,GB,,,,"['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'Physics', 'Computer science/electrical engineering', 'Mathematics/statistics']",['swc-instructor'],['2018-05-07'],2018-05-07,,,,2018-05-07,2018,,,,,
University of Florida,,University of Florida,,,United Kingdom,GB,"2018-25-06-UF-DataCarp,2018-08-15-ufii,2019-04-01-elxir-csc,2019-05-29-elixir-nottingham,2019-12-16-london-kcl","2018-06-25,2018-08-15,2019-04-01,2019-05-29,2019-12-16","{2018: 2, 2019: 3}",['Mathematics/statistics'],['swc-instructor'],['2018-03-20'],2018-03-20,,,,2018-03-20,2018,London Heathrow,LHR,51.4775,-0.46138900000000005,London
King's College London,London,King's College London,51.510734,-0.11691199999999999,United Kingdom,GB,"2018-06-27-SpanishSWC,2018-11-01-london-kcl,2019-04-01-elxir-csc,2019-04-29-KCL,2019-06-03-KCL,2020-10-06-KCL-DTP","2018-06-27,2018-11-01,2019-04-01,2019-04-29,2019-06-03,2020-10-05","{2018: 2, 2019: 3, 2020: 1}",,['swc-instructor'],['2018-07-18'],2018-07-18,,,,2018-07-18,2018,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University of Birmingham,West Midlands,University of Birmingham,52.448986,-1.930855,United Kingdom,GB,,,,"['Genetics', ' genomics', ' bioinformatics', 'Computer science/electrical engineering']",['swc-instructor'],['2018-04-25'],2018-04-25,,,,2018-04-25,2018,Birmingham,BHX,52.453610999999995,-1.7477779999999998,West Midlands
"Advanced Research Computing, University of Birmingham",,"Advanced Research Computing, University of Birmingham",,,United Kingdom,GB,"2018-09-24-python,2019-01-07-bham,2019-02-11-bham,2019-06-03-bham,2019-05-15-bham","2018-09-24,2019-01-07,2019-02-11,2019-06-03,2019-05-15","{2018: 1, 2019: 4}","['Genetics', ' genomics', ' bioinformatics', 'Computer science/electrical engineering', 'Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2018-05-01'],2018-05-01,,,,2018-05-01,2018,Birmingham,BHX,52.453610999999995,-1.7477779999999998,West Midlands
University of Manchester,,University of Manchester,,,United Kingdom,GB,"2018-11-30-Manchester,2019-07-04-parma,2019-12-11-durham,2019-11-18-manchester,2020-06-22-UD-INBRE,2020-08-14-international,2020-11-12-cilip-mdg","2018-11-30,2019-07-04,2019-12-11,2019-11-18,2020-06-22,2020-08-14,2020-11-12","{2018: 1, 2019: 3, 2020: 3}",,['swc-instructor'],['2018-05-23'],2018-05-23,,,,2018-05-23,2018,,,,,
University of Leeds,Yorkshire and The Humber,University of Leeds,53.808493999999996,-1.552797,United Kingdom,GB,,,,"['Computer science/electrical engineering', 'High performance computing']",['swc-instructor'],['2018-06-07'],2018-06-07,,,,2018-06-07,2018,Leeds,LBA,53.865832999999995,-1.6605560000000001,Yorkshire and The Humber
University of Manchester,,University of Manchester,,,United Kingdom,GB,"2019-02-21-manchester,2019-05-09-manchester,2019-11-18-manchester","2019-02-21,2019-05-09,2019-11-18",{2019: 3},"['Computer science/electrical engineering', 'Mathematics/statistics']",['swc-instructor'],['2019-11-28'],2019-11-28,,,,2019-11-28,2019,,,,,
UCL,,UCL,,,United Kingdom,GB,2019-11-04-UCL_software_carpentry,2019-11-04,{2019: 1},"['Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2019-11-28'],2019-11-28,,,,2019-11-28,2019,,,,,
Imperial College London,,Imperial College London,,,United Kingdom,GB,"2019-04-15-Imperial,2019-12-16-london-kcl","2019-04-15,2019-12-16",{2019: 2},"['Organismal biology (ecology', ' botany', ' zoology', ' microbiology)', 'Genetics', ' genomics', ' bioinformatics', 'Medicine']",['swc-instructor'],['2019-02-20'],2019-02-20,,,,2019-02-20,2019,,,,,
University of Sheffield,Yorkshire and The Humber,University of Sheffield,53.381409,-1.488709,United Kingdom,GB,,,,"['Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2018-11-13'],2018-11-13,,,,2018-11-13,2018,,,,,
Swansea University,Wales,Swansea University,51.609621999999995,-3.9806489999999997,United Kingdom,GB,"2019-04-16-swansea,2019-01-28-swansea,2019-10-23-swansea,2020-01-08-swansea,2020-02-25-cardiff,2019-02-07-swansea,2020-06-09-supercomputingwales_python,2020-06-16-supercomputingwales_git,2020-05-26-supercomputingwales_unix","2019-04-16,2019-01-28,2019-10-23,2020-01-08,2020-02-25,2019-02-07,2020-06-09,2020-06-16,2020-05-26","{2019: 4, 2020: 5}","['Physics', 'High performance computing']",['swc-instructor'],['2018-11-13'],2018-11-13,,,,2018-11-13,2018,,,,,
University of Edinburgh,Scotland,University of Edinburgh,55.948003,-3.188111,United Kingdom,GB,"2018-09-13-edinburgh,2019-02-18-edinburgh-business-school,2019-05-06-edinburgh,2019-11-15-edinburgh-library-carpentry,2020-05-13-sfc-online,2020-06-16-sfc-online","2018-09-13,2019-02-18,2019-05-06,2019-11-15,2020-05-13,2020-06-16","{2018: 1, 2019: 3, 2020: 2}",['Social sciences'],['swc-instructor'],['2019-01-02'],2019-01-02,,,,2019-01-02,2019,Edinburgh,EDI,55.95,-3.3725,Scotland
University of Edinburgh,Scotland,University of Edinburgh,55.948003,-3.188111,United Kingdom,GB,2019-01-23-edinburgh-geosc-sc,2019-01-23,{2019: 1},"['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'High performance computing']",['swc-instructor'],['2018-12-20'],2018-12-20,,,,2018-12-20,2018,Edinburgh,EDI,55.95,-3.3725,Scotland
University of St Andrews,Scotland,University of St Andrews,56.341205,-2.793016,United Kingdom,GB,"2018-11-27-standrews,2018-12-10-standrews,2019-05-02-standrews,2019-05-30-standrews","2018-11-27,2018-12-10,2019-05-02,2019-05-30","{2018: 2, 2019: 2}","['Physics', 'Medicine']",['dc-instructor'],['2018-11-29'],,2018-11-29,,,2018-11-29,2018,RAF Leuchars Airport,ADX,56.3728981,-2.8684399,Scotland
University of Sheffield,Yorkshire and The Humber,University of Sheffield,53.381409,-1.488709,United Kingdom,GB,,,,"['Social sciences', 'Humanities', 'Library and information science']",['dc-instructor'],['2019-05-13'],,2019-05-13,,,2019-05-13,2019,,,,,
University of Leicester,East Midlands,University of Leicester,52.621937,-1.123802,United Kingdom,GB,,,,"['Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2018-11-05'],2018-11-05,,,,2018-11-05,2018,,,,,
Swansea University,Wales,Swansea University,51.609621999999995,-3.9806489999999997,United Kingdom,GB,"2019-04-16-swansea,2019-01-28-swansea,2019-10-23-swansea,2020-01-08-swansea,2020-02-25-cardiff,2019-02-07-swansea,2019-12-04-swansea,2020-05-20-swansea,2020-06-09-supercomputingwales_python,2020-06-16-supercomputingwales_git,2020-05-26-supercomputingwales_unix,2020-10-19-swansea,2020-11-23-swansea","2019-04-16,2019-01-28,2019-10-23,2020-01-08,2020-02-25,2019-02-07,2019-12-04,2020-05-20,2020-06-09,2020-06-16,2020-05-26,2020-10-19,2020-11-23","{2019: 5, 2020: 8}","['Civil', ' mechanical', ' chemical', ' or nuclear engineering', 'High performance computing']",['swc-instructor'],['2018-12-20'],2018-12-20,,,,2018-12-20,2018,,,,,
The University of Manchester,North West,The University of Manchester,53.467943000000005,-2.233222,United Kingdom,GB,"2018-11-30-Manchester,2019-05-30-elixir-portugal,2019-12-11-durham,2020-11-12-cilip-mdg","2018-11-30,2019-05-30,2019-12-11,2020-11-12","{2018: 1, 2019: 2, 2020: 1}","['Computer science/electrical engineering', 'Economics/business', 'Humanities', 'Library and information science', 'Education', 'Mathematics/statistics']",['dc-instructor'],['2018-12-11'],,2018-12-11,,,2018-12-11,2018,Manchester,MAN,53.353611,-2.274722,North West
University of Cambridge,Eastern,University of Cambridge,52.205317,0.11664200000000001,United Kingdom,GB,,,,"['Genetics', ' genomics', ' bioinformatics']",['dc-instructor'],['2019-06-11'],,2019-06-11,,,2019-06-11,2019,,,,,
MRC Toxicology Unit,,MRC Toxicology Unit,,,United Kingdom,GB,,,,"['Genetics', ' genomics', ' bioinformatics', 'Mathematics/statistics']",['swc-instructor'],['2019-11-17'],2019-11-17,,,,2019-11-17,2019,,,,,
University of Oxford,South East,University of Oxford,51.757644,-1.262868,United Kingdom,GB,2019-05-22-oxford,2019-05-22,{2019: 1},"['Genetics', ' genomics', ' bioinformatics', 'Computer science/electrical engineering']",['swc-instructor'],['2019-02-02'],2019-02-02,,,,2019-02-02,2019,London Heathrow,LHR,51.4775,-0.46138900000000005,London
Simon Fraser University (SFU),,Simon Fraser University (SFU),,,United Kingdom,GB,"2019-12-16-london-kcl,2020-08-31-SA-ONLINE","2019-12-16,2020-08-31","{2019: 1, 2020: 1}","['Social sciences', 'Education', 'Mathematics/statistics']",['dc-instructor'],['2019-01-10'],,2019-01-10,,,2019-01-10,2019,,,,,
Cancer Research UK Cambridge Institute,,Cancer Research UK Cambridge Institute,,,United Kingdom,GB,"2019-01-15-CRUK-Cambridge-DCinR,2018-11-13-shell","2019-01-15,2018-11-13","{2019: 1, 2018: 1}",['Computer science/electrical engineering'],['dc-instructor'],['2019-03-25'],,2019-03-25,,,2019-03-25,2019,,,,,
University of Sheffield,Yorkshire and The Humber,University of Sheffield,53.381409,-1.488709,United Kingdom,GB,,,,"['Physics', 'Computer science/electrical engineering']",['swc-instructor'],['2019-03-04'],2019-03-04,,,,2019-03-04,2019,,,,,
University College London,London,University College London,51.524774,-0.133401,United Kingdom,GB,"2018-04-25-UCL_software_carpentry,2018-11-07-UCL_software_carpentry,2019-04-08-UCL_software_carpentry,2019-07-09-rslondon,2019-11-04-UCL_software_carpentry,2017-07-25-UCL_software_carpentry","2018-04-25,2018-11-07,2019-04-08,2019-07-09,2019-11-04,2017-07-25","{2018: 2, 2019: 3, 2017: 1}","['Social sciences', 'Humanities', 'Library and information science', 'Education', 'Mathematics/statistics']",['swc-instructor'],['2019-05-09'],2019-05-09,,,,2019-05-09,2019,,,,,
"Bill Lyons Informatics Centre, UCL Cancer Institute",,"Bill Lyons Informatics Centre, UCL Cancer Institute",,,United Kingdom,GB,,,,"['Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2019-02-15'],2019-02-15,,,,2019-02-15,2019,,,,,
The John Innes Centre,Eastern,The John Innes Centre,52.622271,1.2213810000000649,United Kingdom,GB,,,,"['Genetics', ' genomics', ' bioinformatics']",['dc-instructor'],['2018-12-20'],,2018-12-20,,,2018-12-20,2018,,,,,
University of Manchester,,University of Manchester,,,United Kingdom,GB,2020-11-12-cilip-mdg,2020-11-12,{2020: 1},"['Library and information science', 'Education']",['lc-instructor'],['2020-01-16'],,,2020-01-16,,2020-01-16,2020,Manchester,MAN,53.353611,-2.274722,North West
